date;course;
1999-01;1,6055;
1999-02;1,5979;
1999-03;1,5954;
1999-04;1,6015;
1999-05;1,6025;
1999-06;1,5951;
1999-07;1,6040;
1999-08;1,6004;
1999-09;1,6015;
1999-10;1,5943;
1999-11;1,6051;
1999-12;1,6012;
2000-01;1,6103;
2000-02;1,6069;
2000-03;1,6042;
2000-04;1,5740;
2000-05;1,5562;
2000-06;1,5608;
2000-07;1,5505;
2000-08;1,5506;
2000-09;1,5307;
2000-10;1,5130;
2000-11;1,5216;
2000-12;1,5137;
2001-01;1,5291;
2001-02;1,5358;
2001-03;1,5355;
2001-04;1,5287;
2001-05;1,5334;
2001-06;1,5225;
2001-07;1,5135;
2001-08;1,5144;
2001-09;1,4913;
2001-10;1,4793;
2001-11;1,4663;
2001-12;1,4749;
2002-01;1,4745;
2002-02;1,4775;
2002-03;1,4678;
2002-04;1,4658;
2002-05;1,4572;
2002-06;1,4721;
2002-07;1,4624;
2002-08;1,4636;
2002-09;1,4649;
2002-10;1,4650;
2002-11;1,4673;
2002-12;1,4679;
2003-01;1,4621;
2003-02;1,4674;
2003-03;1,4695;
2003-04;1,4964;
2003-05;1,5155;
2003-06;1,5411;
2003-07;1,5476;
2003-08;1,5400;
2003-09;1,5474;
2003-10;1,5485;
2003-11;1,5590;
2003-12;1,5544;
2004-01;1,5657;
2004-02;1,5734;
2004-03;1,5670;
2004-04;1,5547;
2004-05;1,5400;
2004-06;1,5192;
2004-07;1,5270;
2004-08;1,5387;
2004-09;1,5431;
2004-10;1,5426;
2004-11;1,5216;
2004-12;1,5364;
2005-01;1,5469;
2005-02;1,5501;
2005-03;1,5494;
2005-04;1,5475;
2005-05;1,5449;
2005-06;1,5391;
2005-07;1,5578;
2005-08;1,5528;
2005-09;1,5496;
2005-10;1,5490;
2005-11;1,5449;
2005-12;1,5479;
2006-01;1,5494;
2006-02;1,5580;
2006-03;1,5691;
2006-04;1,5748;
2006-05;1,5564;
2006-06;1,5601;
2006-07;1,5687;
2006-08;1,5775;
2006-09;1,5841;
2006-10;1,5898;
2006-11;1,5922;
2006-12;1,5969;
2007-01;1,6155;
2007-02;1,6212;
2007-03;1,6124;
2007-04;1,6375;
2007-05;1,6506;
2007-06;1,6543;
2007-07;1,6567;
2007-08;1,6383;
2007-09;1,6475;
2007-10;1,6706;
2007-11;1,6485;
2007-12;1,6592;
2008-01;1,6203;
2008-02;1,6080;
2008-03;1,5720;
2008-04;1,5964;
2008-05;1,6247;
2008-06;1,6139;
2008-07;1,6193;
2008-08;1,6212;
2008-09;1,5942;
2008-10;1,5194;
2008-11;1,5162;
2008-12;1,5393;
2009-01;1,4935;
2009-02;1,4904;
2009-03;1,5083;
2009-04;1,5147;
2009-05;1,5118;
2009-06;1,5148;
2009-07;1,5202;
2009-08;1,5236;
2009-09;1,5148;
2009-10;1,5138;
2009-11;1,5105;
2009-12;1,5021;
2010-01;1,4765;
2010-02;1,4671;
2010-03;1,4482;
2010-04;1,4337;
2010-05;1,4181;
2010-06;1,3767;
2010-07;1,3460;
2010-08;1,3413;
2010-09;1,3089;
2010-10;1,3452;
2010-11;1,3442;
2010-12;1,2811;
2011-01;1,2779;
2011-02;1,2974;
2011-03;1,2867;
2011-04;1,2977;
2011-05;1,2537;
2011-06;1,2092;
2011-07;1,1766;
2011-08;1,1203;
2011-09;1,2005;
2011-10;1,2295;
2011-11;1,2307;
2011-12;1,2276;
2012-01;1,2108;
2012-02;1,2071;
2012-03;1,2061;
2012-04;1,2023;
2012-05;1,2012;
2012-06;1,2011;
2012-07;1,2011;
2012-08;1,2011;
2012-09;1,2089;
2012-10;1,2098;
2012-11;1,2052;
2012-12;1,2091;
2013-01;1,2288;
2013-02;1,2298;
2013-03;1,2266;
2013-04;1,2199;
2013-05;1,2418;
2013-06;1,2322;
2013-07;1,2366;
2013-08;1,2338;
2013-09;1,2338;
2013-10;1,2316;
2013-11;1,2316;
2013-12;1,2245;
2014-01;1,2317;
2014-02;1,2212;
2014-03;1,2177;
2014-04;1,2189;
2014-05;1,2204;
2014-06;1,2181;
2014-07;1,2150;
2014-08;1,2118;
2014-09;1,2076;
2014-10;1,2078;
2014-11;1,2027;
2014-12;1,2026;
2015-01;1,0940;
2015-02;1,0618;
2015-03;1,0608;
2015-04;1,0379;
